name,year,rating,metascore,vote,imdb_id,poster,genre,certificate,runtime,director_actor,story,imdbId,movieId,tmdbId,title,genres,genre1
Acacia,2003,5.7,,1884,tt0380164,https://m.media-amazon.com/images/M/MV5BMTAxMTY1NzEzOTBeQTJeQWpwZ15BbWU3MDA4NTE5MjE@..jpg,"
Horror, Thriller            ",R,103 min,"
    Director:
Ki-hyeong Park
| 
    Stars:
Hye-jin Shim, 
Jin-geun Kim, 
Oh-bin Mun, 
Na-yoon Jeong
","
    After unsuccessfully trying to have a baby of their own, Dr. Kim Do-il and his father convince his wife Choi Mi-sook to adopt a child in an orphanage. Mi-sook is connected to arts and ...                See full summary »
",380164,34648,37284,Acacia (2003),Horror,Horror
Tae Guk Gi: The Brotherhood of War,2004,8.1,64,37060,tt0386064,https://m.media-amazon.com/images/M/MV5BNjAxZTEzNzQtYjdlNy00ZTJmLTkwZDUtOTAwNTM3YjI2MWUyL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg,"
Action, Drama, War            ",R,140 min,"
    Director:
Je-kyu Kang
| 
    Stars:
Dong-Gun Jang, 
Won Bin, 
Eun-ju Lee, 
Hyeong-jin Kong
","
    When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",386064,27869,11658,Tae Guk Gi: The Brotherhood of War (Taegukgi hwinalrimyeo) (2004),Action|Drama|War,Action
Spygirl,2004,5.9,,518,tt0390043,https://m.media-amazon.com/images/M/MV5BOGJkYWVkZGItY2M3Ni00NDE5LWI2ZDQtODUzOTZiZDhkOTYyXkEyXkFqcGdeQXVyMzQ0NTgwMTQ@..jpg,"
Action, Comedy, Romance            ",,102 min,"
    Director:
Han-jun Park
| 
    Stars:
Jeong-hwa Kim, 
Yoo Gong, 
Sang-mi Nam, 
Jadu
","
    Go-Bong has a huge crush on Gye-Soon who works at a fast food restaurant without knowing that the girl he love is a spy from North Korea.",390043,144610,45407,Spy girl (2004),Action|Comedy|Romance,Action
Once Upon a Time in High School: The Spirit of Jeet Kune Do,2004,7.4,,2386,tt0390205,https://m.media-amazon.com/images/M/MV5BMjAxMzY4MjU2Ml5BMl5BanBnXkFtZTgwNjY5OTQ2MzE@..jpg,"
Action, Drama, History            ",Not Rated,116 min,"
    Director:
Ha Yoo
| 
    Stars:
Sang-Woo Kwon, 
Jung-Jin Lee, 
Ga-in Han, 
Hyo-jun Park
","
    By ""Fist of Fury"", Kim Hyun-Soo (Sang-Woo Kwone) addicted to Bruce Lee. Year 1978. Hyun-Soo moved to KangNam, Seoul. Hyun-Soo transferred to JungMoon High, Maljuk Street, Kangnam, Seoul. He...                See full summary »
",390205,135498,49214,Once Upon a Time in High School (2004),Action|Drama|Romance,Action
My Little Bride,2004,7.1,,5133,tt0395140,https://m.media-amazon.com/images/M/MV5BMjgxMDE3NzcyM15BMl5BanBnXkFtZTgwNTg4ODUwMjE@..jpg,"
Comedy, Drama, Romance            ",Not Rated,115 min,"
    Director:
Ho-joon Kim
| 
    Stars:
Rae-won Kim, 
Geun-young Moon, 
Sun-yeong Ahn, 
Bo-kyeong Kim
","
    A teenage girl tries to continue her normal social and school life, after her grandfather forces her into an arranged marriage with a man in his twenties.",395140,142791,44656,My Little Bride (2004),Comedy|Drama|Romance,Comedy
100 Days with Mr. Arrogant,2004,6.1,,2907,tt0395677,https://m.media-amazon.com/images/M/MV5BMWY2YmM0YmYtYTFjNS00ZTljLThmOGQtM2ExOTE3NWU1ZDc3XkEyXkFqcGdeQXVyNDI3NjcxMDA@..jpg,"
Comedy, Romance            ",,95 min,"
    Director:
Dong-yeob Shin
| 
    Stars:
Jae-won Kim, 
Ji-Won Ha, 
Tae-Hyun Jin, 
Min Han
","
    A cute, poor, Korean high school senior's dumped by her boyfriend so she kicks a beer can hitting a handsome driver, who ""crashes"" his convertible. He insists on 3M won/USD3000 in damages. She can work it off over 100 days. Comedy follows.",395677,149761,16632,100 Days With Mr. Arrogant (2004),Comedy|Romance,Comedy
Samaritan Girl,2004,7.1,,12774,tt0397619,https://m.media-amazon.com/images/M/MV5BNWE0ZjZiZjQtMmY0Yy00YTQ0LTg3NWQtMmYzODM0NzVhMDcyXkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,"
Drama            ",R,95 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Eol Lee, 
Ji-min Kwak, 
Yeo-reum Han, 
Hyun-min Kwon
","
    Jae-Young is an amateur prostitute who sleeps with men while her best friend Yeo-Jin ""manages"" her, fixing dates, taking care of the money and making sure the coast is clear. When Jae-Young...                See full summary »
",397619,33487,1279,Samaritan Girl (Samaria) (2004),Drama,Drama
Woman Is the Future of Man,2004,6.4,63,1337,tt0403692,https://m.media-amazon.com/images/M/MV5BMjA4NzExMjE1N15BMl5BanBnXkFtZTcwODI0NTE0MQ@@..jpg,"
Drama            ",Not Rated,88 min,"
    Director:
Sang-soo Hong
| 
    Stars:
Ji-Tae Yoo, 
Tae-woo Kim, 
Hyun-Ah Sung, 
Ho-jung Kim
","
    Two college friends get together and reminisce on the woman they both fell in love with at different times in their past, and are thus propelled to find her.",403692,52872,16447,Woman Is the Future of Man (Yeojaneun namjaui miraeda) (2004),Drama,Drama
Spider Forest,2004,6.5,,2029,tt0407821,https://m.media-amazon.com/images/M/MV5BNjg5OTY0NzczMF5BMl5BanBnXkFtZTgwNzI4MDQ2MzE@..jpg,"
Drama, Horror, Mystery            ",R,112 min,"
    Director:
Il-gon Song
| 
    Stars:
Woo-seong Kam, 
Jung Suh, 
Kyung-hun Kang, 
Hyun-Sung Jang
","
    A recently widowed TV producer is drawn to an isolated cabin in a mysterious woods.",407821,79846,21781,Spider Forest (Geomi sup) (2004),Drama|Horror|Mystery|Thriller,Drama
Windstruck,2004,7.2,,6770,tt0409072,https://m.media-amazon.com/images/M/MV5BNGIzNWQyYjAtMWM3Yy00MWQ5LTlmYmQtNzk3MGJlM2RmN2EyXkEyXkFqcGdeQXVyNDQyNTUyODM@..jpg,"
Comedy, Crime, Drama            ",,123 min,"
    Director:
Jae-young Kwak
| 
    Stars:
Ji-Hyun Jun, 
Hyuk Jang, 
Soo-Ro Kim, 
Ki-woo Lee
","
    The heart-warming romance story between Kyungjin and Myungwoo. Even though he has passed away, he will be always with Kyungwoo forever.",409072,27909,10103,Windstruck (Nae yeojachingureul sogae habnida) (2004),Comedy|Crime|Drama,Comedy
Dead Friend,2004,6.1,,1791,tt0410537,https://m.media-amazon.com/images/M/MV5BMDlmZGNjNWMtZTZhZS00MGUwLTkzMGYtOTAyOTZmZjE2NTc2XkEyXkFqcGdeQXVyMzM4MjM0Nzg@..jpg,"
Horror            ",Not Rated,98 min,"
    Director:
Tae-kyeong Kim
| 
    Stars:
Ha-neul Kim, 
Sang-mi Nam, 
Hye-bin Jeon, 
Yi Shin
","
    A teenage girl suffering from amnesia discovers that she is somehow connected to a group of people who are being killed off one by one by a vengeful ghost.",410537,144512,21792,The Ghost (2004),Horror|Thriller,Horror
Ouija Board,2004,5.7,,1353,tt0415689,https://m.media-amazon.com/images/M/MV5BYTVlMTQ1ZjMtOTIxNC00OWQ3LWEyNzYtZWZjN2YyNzFjYjQzXkEyXkFqcGdeQXVyOTYyMTM3OTU@..jpg,"
Horror, Thriller            ",R,92 min,"
    Director:
Byeong-ki Ahn
| 
    Stars:
Gyu-ri Kim, 
Se-eun Lee, 
Yu-ri Lee, 
Seong-min Choi
","
    A high school girl moves from Seoul to a small remote village, where she is constantly harassed and bullied by the jealous common village girls. In a desperate bid to get back at her classmates, she tries to conjure a ghost to haunt them.",415689,144434,32173,Bunshinsaba: Ouija Board (2004),Horror,Horror
Fighter in the Wind,2004,7,,3685,tt0416499,https://m.media-amazon.com/images/M/MV5BODI3NzgyOWItMjg4NS00MzE3LTkwYTgtMzFjZDY3ODI3ZGQwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,"
Action, Biography, Drama            ",Not Rated,120 min,"
    Director:
Yun-ho Yang
| 
    Stars:
Dong-kun Yang, 
Aya Hirayama, 
Masaya Katô, 
Tae-woo Jeong
","
    A young Korean man arrives in Japan near the end of World War II with hopes of being a fighter pilot, but ends up on the streets battling racism, organized crime, occupying American ...                See full summary »
",416499,34231,21115,Fighter in the Wind (2004),Action|Drama,Action
The Doll Master,2004,5.7,,1785,tt0416853,https://m.media-amazon.com/images/M/MV5BMjE4NDA2ODQxOV5BMl5BanBnXkFtZTgwNTgzMTAwMTE@..jpg,"
Horror, Thriller            ",Not Rated,90 min,"
    Director:
Yong-ki Jeong
| 
    Stars:
Yu-mi Kim, 
Eun-kyeong Lim, 
Hyung Tak Shim, 
Ji-young Ok
","
    5 young people, a quiet doll maker in a wheelchair and her dedicated helper, a chained old man in the basement and a mysterious young girl in red... all together in a lonely doll museum in ...                See full summary »
",416853,144526,56790,The Doll Master (2004),Horror,Horror
R-Point,2004,6.3,,5024,tt0417072,https://m.media-amazon.com/images/M/MV5BMjM5MTExNzE0Ml5BMl5BanBnXkFtZTgwNjM5MDQ2MzE@..jpg,"
Action, Horror, War            ",R,107 min,"
    Director:
Su-chang Kong
| 
    Stars:
Woo-seong Kam, 
Byung-ho Son, 
Sun-kyun Lee, 
Won-Sang Park
","
    During the Vietnam War, a South Korean base receives a radio transmission from a missing squad, presumed dead, and sends a platoon to rescue the lost squad from the R-Point.",417072,50774,16138,R-Point (Arpointeu) (2004),Action|Drama|Horror,Action
3-Iron,2004,8,72,47924,tt0423866,https://m.media-amazon.com/images/M/MV5BMTM1ODIwNzM5OV5BMl5BanBnXkFtZTcwNjk5MDkyMQ@@..jpg,"
Crime, Drama, Romance            ",R,88 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Seung-Yun Lee, 
Hee Jae, 
Hyuk-ho Kwon, 
Jeong-ho Choi
","
    A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.",423866,30803,1280,3-Iron (Bin-jip) (2004),Drama|Romance,Drama
A Moment to Remember,2004,8.2,,20999,tt0428870,https://m.media-amazon.com/images/M/MV5BODYzODg5Mjg3Ml5BMl5BanBnXkFtZTgwNDM1MDQ2MzE@..jpg,"
Drama, Romance            ",PG-13,117 min,"
    Director:
John H. Lee
| 
    Stars:
Woo-sung Jung, 
Ye-jin Son, 
Jong-hak Baek, 
Seon-jin Lee
","
    A Korean love story about a young couple's enduring love, which is tested when 27 year old Sun-jin is diagnosed with a rare form of Alzheimer's disease.",428870,60992,15859,"Moment to Remember, A (Nae meorisokui jiwoogae) (2004)",Drama|Romance,Drama
Another Public Enemy,2005,6,,584,tt0433328,https://m.media-amazon.com/images/M/MV5BYzBmYTFmNGQtODA5Mi00ODA2LTkwYzUtZjEyMjEwZjcwOWJlXkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,"
Action, Drama            ",R,148 min,"
    Director:
Woo-Suk Kang
| 
    Stars:
Kyung-gu Sol, 
Jun-ho Jeong, 
Shin-il Kang, 
Geun-hyeong Park
","
    A public prosecutor looks to bring down a corrupt public official.",433328,144290,32213,Another Public Enemy (2005),Action|Drama|Thriller,Action
Lady Vengeance,2005,7.6,75,69281,tt0451094,https://m.media-amazon.com/images/M/MV5BODdmZGI0MjktNjA4NS00ODgxLWEzZjUtMTc0OTZlMTlhYWE5XkEyXkFqcGdeQXVyNzI1NzMxNzM@..jpg,"
Crime, Drama, Thriller            ",R,115 min,"
    Director:
Chan-wook Park
| 
    Stars:
Yeong-ae Lee, 
Min-sik Choi, 
Shi-hoo Kim, 
Yea-young Kwon
","
    After being wrongfully imprisoned for thirteen years and having her child taken away from her, a woman seeks revenge through increasingly brutal means.",451094,42632,4550,Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005),Crime|Drama|Mystery|Thriller,Crime
Seoul Raiders,2005,5.6,,998,tt0455116,https://m.media-amazon.com/images/M/MV5BZjhjNjM5OWYtNTRlMy00NGIyLTliZGYtNTY3ZWM4MzdkZDk4XkEyXkFqcGdeQXVyNzI1NzMxNzM@..jpg,"
Drama, Comedy, Action            ",,95 min,"
    Director:
Jingle Ma
| 
    Stars:
Tony Chiu-Wai Leung, 
Richie Jen, 
Qi Shu, 
James Kim
","
    JJ/Qi Shu and PI Lam (Tokyo Raiders (2000)) steal 2 stolen USD100 plates in HK. Lam loses them - no US reward. Lam and his 3 cute angels try to get them again in Seoul as does JJ. Lots of fighting.",455116,144576,10265,Seoul Raiders (2005),Action|Comedy|Drama|Thriller,Action
The Bow,2005,7.1,,10408,tt0456470,https://m.media-amazon.com/images/M/MV5BMTQzMDE4MzM4NV5BMl5BanBnXkFtZTcwOTMyNzYzMQ@@..jpg,"
Drama, Romance            ",Not Rated,90 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Yeo-reum Han, 
Ji-Seok Seo, 
Gook-hwan Jeon, 
Seong-hwan Jeon
","
    On a fishing boat at sea, a 60-year old man has been raising a girl since she was a baby. It is agreed that they will get married on her 17th birthday, and she is 16 now. They live a quiet and secluded life, renting the boat to day fishermen and practicing strange divination rites. Their life changes when a teenage student comes aboard...",456470,48001,1963,"Bow, The (Hwal) (2005)",Drama|Romance,Drama
A Bittersweet Life,2005,7.6,,34583,tt0456912,https://m.media-amazon.com/images/M/MV5BYWExMGMyZTYtMTRmZS00M2VlLWI0MzMtYmE5MzQ1N2MzOGE4XkEyXkFqcGdeQXVyMTMxODk2OTU@..jpg,"
Action, Crime, Drama            ",Not Rated,119 min,"
    Director:
Jee-woon Kim
| 
    Stars:
Byung-hun Lee, 
Min-a Shin, 
Yeong-cheol Kim, 
Jung-min Hwang
","
    Things go wrong for a high ranking mobster when he doesn't proceed by his boss's orders.",456912,38095,11344,"Bittersweet Life, A (Dalkomhan insaeng) (2005)",Action|Crime|Drama,Action
Crying Fist,2005,7.3,,2738,tt0457007,https://m.media-amazon.com/images/M/MV5BMDlkYjdmODctYjFhZS00M2VmLTgwNDgtMjIxYzAxNDBiMjg1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@..jpg,"
Action, Drama, Sport            ",,134 min,"
    Director:
Seung-wan Ryoo
| 
    Stars:
Min-sik Choi, 
Seung-bum Ryoo, 
Kil-kang Ahn, 
Jeong-ah Bae
","
    Tae Sik, a troubled middle aged man and Sang Hwan, a troubled youth will meet in the ring with their respective mission. To change their life.",457007,144430,40452,Crying Fist (2005),Drama,Drama
Blood Rain,2005,6.7,,1032,tt0462684,https://m.media-amazon.com/images/M/MV5BMTc0NDQ3ODI1Ml5BMl5BanBnXkFtZTgwMjI2OTE3MjE@..jpg,"
Mystery, Thriller            ",Not Rated,119 min,"
    Director:
Dae-seung Kim
| 
    Stars:
Seung-Won Cha, 
Yong-woo Park, 
Seong Ji, 
Se-ah Yun
","
    Blood Rain tells the story of a slew of grisly murders plaguing a small, fairly isolated island village. However, it's not just the mounting death toll that's causing residents to worry, ...                See full summary »
",462684,144534,45089,Blood Rain (2005),Thriller,Thriller
The Host,2006,7.1,85,100024,tt0468492,https://m.media-amazon.com/images/M/MV5BMTE3N2IwNmMtOGE0Ny00NWFlLTliNmUtNjY3ODExYjgxNmUyXkEyXkFqcGdeQXVyMTMxODk2OTU@..jpg,"
Action, Drama, Horror            ",R,120 min,"
    Director:
Bong Joon Ho
| 
    Stars:
Kang-ho Song, 
Hee-Bong Byun, 
Hae-il Park, 
Doona Bae
","
    A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.",468492,51709,1255,"Host, The (Gwoemul) (2006)",Comedy|Drama|Horror|Sci-Fi|Thriller,Comedy
Deiji,2006,7.5,,5698,tt0468704,https://m.media-amazon.com/images/M/MV5BODNhZmZiNTktYTEzMC00ODA1LWE3NzktNmQxZGVkMDA1ZjdiXkEyXkFqcGdeQXVyNzI1NzMxNzM@..jpg,"
Drama, Romance            ",Not Rated,110 min,"
    Director:
Andrew Lau
| 
    Stars:
Ji-Hyun Jun, 
Woo-sung Jung, 
Sung-Jae Lee, 
Sara Bernardo Aires
","
    About a tragic love triangle story involving young painter Hye-young, Interpol detective Jeong Woo, and professional hitman Park Yi.",468704,76816,18426,Daisy (2006),Drama|Romance,Drama
Duelist,2005,5.9,,1286,tt0475616,https://m.media-amazon.com/images/M/MV5BYTcwZGMzNmEtZGFmYy00NWI1LWFjYWMtYzhiNjMxY2NiNmFjXkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,"
Action, Comedy, Mystery            ",,108 min,"
    Director:
Myung-se Lee
| 
    Stars:
Ji-Won Ha, 
Dong-won Gang, 
Sung-Ki Ahn, 
Young-chang Song
","
    Set years ago in the era of the Joseon Dynasty, the story follows a young police officer named Namsoon (Ha Ji-won) who, along with her fellow officers, discovers a counterfeit ring ...                See full summary »
",475616,82631,26138,Duelist (Hyeongsa) (2005),Action|Mystery,Action
Battle Ground 625,2005,7.7,,6420,tt0475783,https://m.media-amazon.com/images/M/MV5BZjlkYWU1MzctYTdmMS00MDIyLTgyNGMtZmU1MjIwNjU0ZjY4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,"
Comedy, Drama, War            ",Not Rated,133 min,"
    Director:
Kwang-Hyun Park
| 
    Stars:
Jae-yeong Jeong, 
Ha-kyun Shin, 
Hye-jeong Kang, 
Ha-ryong Lim
","
    Soldiers from both sides of the Korean divide live among villagers who know nothing of the war.",475783,72178,14968,Welcome to Dongmakgol (2005),Comedy|Drama|War,Comedy
Running Wild,2006,6.3,,742,tt0485552,https://m.media-amazon.com/images/M/MV5BZTBlNDgzNTEtN2MzZC00MjI2LTljMDgtNzc1ZGRiNmMwZTc2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,"
Action, Adventure, Crime            ",Not Rated,124 min,"
    Director:
Seong-soo Kim
| 
    Stars:
Sang-Woo Kwon, 
Ji-Tae Yoo, 
Kil-kang Ahn, 
Jin-woong Cho
","
    Jang is a homicide detective who likes to use violence with criminals, while Oh is a prosecutor who believes in the importance of evidence. After the murder of his younger half-brother ...                See full summary »
",485552,144212,32160,Running Wild (2006),Action|Crime|Thriller,Action
Princess Aurora,2005,6.6,,1080,tt0488174,https://m.media-amazon.com/images/M/MV5BMTAyOTU5MjQzMzVeQTJeQWpwZ15BbWU4MDM0MTkxNzIx..jpg,"
Crime, Drama, Mystery            ",,106 min,"
    Director:
Eun-jin Pang
| 
    Stars:
Uhm Junghwa, 
Seong-kun Mun, 
Oh-jung Kwon, 
Jong-won Choi
","
    A woman gets killed in a department store. No one imagines this could lead to serial murders, but two days after the first murder, another homicide occurs. A woman is suffocated to death ...                See full summary »
",488174,83163,38054,Princess Aurora (Orora gongju) (2005),Crime|Drama|Mystery,Crime
Mr. Socrates,2005,6.3,,436,tt0488762,https://m.media-amazon.com/images/M/MV5BODFlNDI0ZDgtYzRiMy00ZDMzLTlmOGEtMGMxZWIzMTcxODAxXkEyXkFqcGdeQXVyMzE4MDkyNTA@..jpg,"
Action, Crime            ",,109 min,"
    Director:
Jin-won Choi
| 
    Stars:
Shin-il Kang, 
Jong-Hyuk Lee, 
Tae-young Yoon, 
Rae-won Kim
","
    A low-life scumbag gets kidnapped by a mysterious gang and put through inhumane training to become a mole inside the police force.",488762,144322,32163,Mr. Socrates (2005),Action|Crime,Action
The King and the Clown,2005,7.4,,4909,tt0492835,https://m.media-amazon.com/images/M/MV5BMTQ1NTY3MTg4MV5BMl5BanBnXkFtZTgwOTUwOTE3MjE@..jpg,"
Drama, History            ",PG-13,119 min,"
    Director:
Joon-ik Lee
| 
    Stars:
Woo-seong Kam, 
Jin-young Jung, 
Seong-Yeon Kang, 
Joon-Gi Lee
","
    Two clowns living in Korea's Chosun Dynasty get arrested for staging a play that satirizes the king. They are dragged to the palace and threatened with execution but are given a chance to save their lives if they can make the king laugh.",492835,76117,45035,"King and the Clown, The (Wang-ui namja) (2005)",Drama|Thriller,Drama
"I'm a Cyborg, But That's OK",2006,7.1,,22290,tt0497137,https://m.media-amazon.com/images/M/MV5BMTAwMjQ0NjQzMTReQTJeQWpwZ15BbWU4MDEyNjg3NTIx..jpg,"
Comedy, Drama, Romance            ",Not Rated,105 min,"
    Director:
Chan-wook Park
| 
    Stars:
Soo-jung Lim, 
Rain, 
Seong-hun Cheon, 
Hee-jin Choi
","
    A girl who thinks she is a combat cyborg checks into a mental hospital, where she encounters other psychotics. Eventually, she falls for a man who thinks he can steal people's souls.",497137,53161,5488,"I'm a Cyborg, But That's OK (Saibogujiman kwenchana) (2006)",Comedy|Drama|Romance|Sci-Fi,Comedy
Time,2006,7.2,73,11539,tt0497986,https://m.media-amazon.com/images/M/MV5BMjA1NjU5OTcxNl5BMl5BanBnXkFtZTcwNTMyNjYzMQ@@..jpg,"
Drama, Mystery, Romance            ",Not Rated,97 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Jung-woo Ha, 
Ji-Yeon Park, 
Jun-yeong Jang, 
Gyu-Woon Jung
","
    To save her relationship, a woman puts herself through extensive plastic surgery.",497986,50517,25648,Time (Shi gan) (2006),Drama|Romance,Drama
Thirst,2009,7.1,73,40955,tt0762073,https://m.media-amazon.com/images/M/MV5BYzA4MGVkNjMtYWI5NC00YTQwLWJkZTUtOTdjYmI5OGE4ZTUwL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg,"
Drama, Fantasy, Horror            ",R,134 min,"
    Director:
Chan-wook Park
| 
    Stars:
Kang-ho Song, 
Ok-bin Kim, 
Hee-jin Choi, 
Dong-soo Seo
","
    Through a failed medical experiment, a priest is stricken with vampirism and is forced to abandon his ascetic ways.",762073,71304,22536,Thirst (Bakjwi) (2009),Drama|Horror,Drama
Bloody Tie,2006,6.3,,631,tt0816437,https://m.media-amazon.com/images/M/MV5BNDRhYjk3ZmMtMmEwNy00NDllLWE2MmMtOTI4MTY3YThjZDU1XkEyXkFqcGdeQXVyNjQ3ODkxMjE@..jpg,"
Action, Crime, Thriller            ",Not Rated,117 min,"
    Director:
Ho Choi
| 
    Stars:
Seung-bum Ryoo, 
Jung-min Hwang, 
Hee-ra Kim, 
Ja-Hyeon Chu
","
    A low-level drug pusher is pressured by a corrupt cop to help him catch a local drug lord.",816437,144554,32159,Bloody Tie (2006),Action|Crime|Drama|Thriller,Action
Secret Sunshine,2007,7.5,84,6482,tt0817225,https://m.media-amazon.com/images/M/MV5BMjAzMDE5MDM5OV5BMl5BanBnXkFtZTgwMDE1NzE1MjE@..jpg,"
Drama            ",Not Rated,142 min,"
    Director:
Chang-dong Lee
| 
    Stars:
Do-yeon Jeon, 
Kang-ho Song, 
Hye-jin Jang, 
Yeong-jin Jo
","
    A woman moves to the town where her dead husband was born. As she tries to fit in, another tragic event overturns her life.",817225,55705,2015,Secret Sunshine (Milyang) (2007),Comedy|Drama|Romance,Comedy
Never Forever,2007,6.5,,1463,tt0817544,https://m.media-amazon.com/images/M/MV5BZjg1NzllNjgtZmU3ZC00YjdhLThjZWQtMGJmYmY2MjYzYzQ5XkEyXkFqcGdeQXVyMTY5Nzc4MDY@..jpg,"
Drama, Romance            ",R,104 min,"
    Director:
Gina Kim
| 
    Stars:
Vera Farmiga, 
David Lee McInnis, 
Joseph Y. Kim, 
Shirley Roeca
","
    When an American woman begins a dangerous relationship with an attractive immigrant worker, in order to save her marriage, she finds her true self.",817544,75335,18514,Never Forever (2007),Drama|Romance,Drama
A Dirty Carnival,2006,7.4,,7674,tt0821442,https://m.media-amazon.com/images/M/MV5BMTc5Mzc3ODUyMl5BMl5BanBnXkFtZTgwNDk0ODc1MjE@..jpg,"
Action, Crime, Drama            ",Not Rated,140 min,"
    Director:
Ha Yoo
| 
    Stars:
In-Sung Jo, 
Ho-jin Chun, 
Min Namkoong, 
Bo-young Lee
","
    A small time thug collecting debts for the local triad is torn between his criminal aspirations and his devotion to family.",821442,78003,23538,"Dirty Carnival, A (Biyeolhan geori) (2006)",Action|Crime|Thriller,Action
The City of Violence,2006,6.7,,4158,tt0821470,https://m.media-amazon.com/images/M/MV5BMTk5NzE5MTc1NV5BMl5BanBnXkFtZTgwNDY4ODc1MjE@..jpg,"
Action            ",,92 min,"
    Director:
Seung-wan Ryoo
| 
    Stars:
Seung-wan Ryoo, 
Jae-mo Ahn, 
Kil-kang Ahn, 
Dong-Hyeon Baek
","
    Tae-su, a detective fighting organized crime, returns to his hometown for his high school friend Wang-jae's funeral. At the funeral, he meets his old friends Pil-ho, Dong-hwan and Seok-hwan...                See full summary »
",821470,55684,20605,"City of Violence, The (Jjakpae) (2006)",Action|Crime|Drama,Action
Apt.,2006,5.8,,894,tt0826024,https://m.media-amazon.com/images/M/MV5BZjA5MjkyZTYtMDE5OS00MGExLWJmNmEtNzAwODc4NWYwOWM2XkEyXkFqcGdeQXVyNjQxODIzNDA@..jpg,"
Horror, Thriller            ",,90 min,"
    Director:
Byeong-ki Ahn
| 
    Stars:
So-Young Ko, 
Seong-jin Kang, 
Hie-jin Jang, 
Ha-seon Park
","
    Se-jin, a young woman who lives in an old apartment in a Seoul suburb, amuses herself by observing the windows of the apartments on the other side. One day, she notices that the lights of ...                See full summary »
",826024,144292,32152,APT. (2006),Horror,Horror
Woman on the Beach,2006,6.9,72,1007,tt0835787,https://m.media-amazon.com/images/M/MV5BMzY3NmJmNjQtODgwMi00YjY0LWE3YjAtNmEwMGRmZTYwMzFjXkEyXkFqcGdeQXVyMjI2MDQxODA@..jpg,"
Comedy, Drama, Romance            ",R,100 min,"
    Director:
Sang-soo Hong
| 
    Stars:
Seung-woo Kim, 
Hyun-Jung Go, 
Seon-mi Song, 
Tae-woo Kim
","
    A movie director entices his young friend to come to the beach on the pretext of writing a script. He then starts an affair with the friend's girlfriend.",835787,52617,54659,Woman on the Beach (Haebyeonui yeoin) (2006),Comedy|Drama,Comedy
Righteous Ties,2006,6.4,,333,tt0891488,https://m.media-amazon.com/images/M/MV5BMTYwNTAyNDM4MV5BMl5BanBnXkFtZTgwNjMyODc1MjE@..jpg,"
Comedy, Crime, Drama            ",Not Rated,126 min,"
    Director:
Jin Jang
| 
    Stars:
Jae-yeong Jeong, 
Jun-ho Jeong, 
Seung-ryong Ryu, 
Won-tae Choi
","
    An eccentric but faithful mafia, Chi-sung is sent to prison for his part in a gang fight. But when his parents are attacked by a rival mob and his own people take no action, he realizes ...                See full summary »
",891488,144344,55765,Righteous Ties (2006),Action|Adventure|Crime|Drama,Action
Breath,2007,6.9,,4457,tt0901475,https://m.media-amazon.com/images/M/MV5BYTYyYWM4Y2ItOWZjNy00NmQyLTlhN2UtYjFhYTRmYzRlNzExXkEyXkFqcGdeQXVyMjExNjgyMTc@..jpg,"
Drama            ",,84 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Chen Chang, 
In-Hyeong Gang, 
Jung-woo Ha, 
Ki-duk Kim
","
    A love story involving a convicted prisoner who ""slowly falls for a woman who decorates his prison cell"".",901475,60551,25647,Breath (Soom) (2007),Drama,Drama
The Good the Bad the Weird,2008,7.3,69,32412,tt0901487,https://m.media-amazon.com/images/M/MV5BYzgxYWM3MjEtZjhmYi00YWRlLWE4YjItYmI3NTVmOTljNzUyXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,"
Action, Adventure, Comedy            ",R,130 min,"
    Director:
Jee-woon Kim
| 
    Stars:
Kang-ho Song, 
Byung-hun Lee, 
Woo-sung Jung, 
Je-mun Yun
","
    The story of two outlaws and a bounty hunter in 1940s Manchuria and their rivalry to possess a treasure map while being pursued by the Japanese army and Chinese bandits.",901487,66785,15067,"Good, the Bad, the Weird, The (Joheunnom nabbeunnom isanghannom) (2008)",Action|Adventure|Comedy|Western,Action
